Contig	FAME000001	FAME000002	FAME000003	FAME000004	FAME000005	FAME000006	FAME000007	FAME000008	FAME000009	FAME000010	FAME000011	FAME000012	FAME000013	FAME000014	FAME000015	FAME000016	FAME000017	FAME000018	FAME000019	FAME000020	FAME000022	FAME000023
contig_17120	86.91	14.45	369.2	15.24	194.2	0.9415	7.523	138.0	30.93	124.2	1.232	0.4923	95.87	149.1	7.056	173.2	3.669	129.3	19.32	168.6	122.7	35.45
contig_17223	123.3	0.2971	7.06	0.5465	52.53	0.4037	12.55	105.8	0.2067	108.3	0.3624	0.0	133.4	107.1	0.506	176.6	0.6886	183.2	0.4001	191.3	190.2	0.3611
contig_17240	26.66	0.0	0.49	0.1008	0.07115	0.0	0.3625	12.69	0.0	1.113	0.0	0.0	1.677	4.663	0.0	0.0	0.0	0.183	0.0	0.9324	0.2945	0.0
contig_17241	32.76	0.0	0.2111	0.1158	0.08174	0.0	0.9197	26.62	0.0	3.671	0.1151	0.1226	12.61	7.341	0.0	0.1027	0.0	0.9253	0.0	2.651	0.4229	0.0
contig_17243	1.125	0.0	0.9229	0.0	0.1787	0.0	0.07585	1.763	0.0	1.967	0.0	0.0	0.308	11.88	0.0	0.0	0.0	0.0	0.0	0.0	0.2465	0.0
contig_17244	3.851	0.0	0.0	0.0	0.2352	0.0	0.1498	0.619	0.0	0.2726	0.0	0.0	11.09	0.1142	0.0	0.0	0.0	0.121	0.0	0.1541	0.0	0.0
contig_17245	37.07	0.5944	0.3092	1.019	0.3103	0.09454	1.135	129.1	0.7715	3.926	0.2077	0.05027	16.39	9.71	0.2156	0.1784	0.7749	2.809	0.7809	4.142	0.6407	0.5919
contig_17250	3.898	0.0	0.0	0.0	0.0	0.1345	1.266	96.91	0.0	3.913	0.0	0.0	12.22	0.8741	0.0	0.0	0.0	0.8685	0.0	0.1475	0.1552	0.0
contig_17251	1.1	0.0	0.5641	0.0	0.3822	0.0	0.255	1.006	0.0	1.772	0.0	0.0	1.695	14.37	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0
contig_17255	32.75	0.0	0.1523	0.0	0.0	0.0	0.1502	6.402	0.0	0.5126	0.0	0.0	1.423	4.724	0.0	0.0	0.0	0.9103	0.0	0.5796	0.3661	0.0
contig_17256	2.262	0.0	0.0	0.0	0.1561	0.1867	0.03315	62.05	0.0	1.629	0.0	0.0	6.91	1.895	0.0	0.0	0.0	1.285	0.0	1.023	0.2154	0.0
contig_17263	12.22	0.3275	0.0	0.1506	0.05317	0.1271	0.6208	111.8	0.1139	2.404	0.0	0.0	15.13	7.95	0.02324	0.0	0.0	1.587	0.0	2.23	0.3301	0.0
contig_17268	0.6957	0.2835	1.347	0.0	0.0	0.0	0.05863	0.06056	0.0	2.134	0.0	0.0	1.27	14.35	0.0	0.9249	0.0	0.0	0.0	0.0	0.508	0.0
contig_17270	11.2	0.0	0.0	0.0	0.0	0.4088	0.9195	155.2	0.3256	2.114	0.4281	0.0	22.27	4.98	0.0	0.2863	0.0	2.229	0.0	4.929	0.3145	0.5688
contig_17271	29.46	0.0	0.1984	0.0	0.0	0.0	0.1957	17.59	0.1646	0.5342	0.0	0.0	3.311	5.034	0.0	0.0	0.0	1.067	0.0	1.359	0.0	0.0
contig_17272	7.702	0.0	0.1847	0.0	0.0	0.0	1.412	147.5	0.0	4.477	0.0	0.0	17.64	3.333	0.0	0.0	0.0	1.104	0.0	6.327	0.0	0.0
contig_17273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6182	0.0	0.1361	0.0	0.0	10.94	0.114	0.0	0.0	0.0	0.2418	0.0	0.0	0.0	0.0
contig_17280	7.069	0.0	0.2013	0.0	0.0	0.0	0.1489	18.16	0.0	0.1355	0.0	0.0	2.688	2.044	0.0	0.0	0.0	0.722	0.0	0.6129	0.3226	0.0
contig_17299	35.98	0.0	1.937	0.7081	16.25	0.1495	5.095	48.28	0.0	36.15	0.3522	0.0	46.56	34.71	0.05464	76.85	0.0	81.31	0.1296	65.04	97.36	0.7798
contig_17321	81.1	991.9	116.8	9.531	143.4	0.6524	13.75	123.7	2.598	154.4	3.074	3.82	122.5	132.5	266.6	109.9	9.954	141.2	74.3	93.92	149.6	195.6
contig_17333	56.09	0.0	29.65	0.0	104.8	0.0	8.539	63.85	0.5271	88.33	0.4621	0.3691	76.78	61.45	0.1075	25.11	1.756	42.98	0.0	16.85	59.48	0.0
contig_17396	22.85	0.1936	1.58	0.2493	18.5	0.06013	1.692	24.01	0.1078	27.21	0.09445	0.0	33.28	25.95	0.0	24.03	0.2393	13.82	0.0	19.34	46.21	0.09411
