#FeatureID	FAME000001_good_out	FAME000002_good_out	FAME000003_good_out	FAME000004_good_out	FAME000005_good_out	FAME000006_good_out	FAME000007_good_out	FAME000008_good_out	FAME000009_good_out	FAME000010_good_out	FAME000011_good_out	FAME000012_good_out	FAME000013_good_out	FAME000014_good_out	FAME000015_good_out	FAME000016_good_out	FAME000017_good_out	FAME000018_good_out	FAME000019_good_out	FAME000020_good_out	FAME000022_good_out	FAME000023_good_out
N5113	4	186	8	7	1065	8	3	13	5	2	164	8	4	139	10	3	865	4	1	12	2	122
N5116	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
N5117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
N5119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
N5124	4	0	0	0	8	0	2	11	2	16	2	0	22	8	0	8	0	12	0	10	24	0
N5125	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	2	0	0	1	0
N5126	46	2	2	2	49	0	3	28	0	36	0	2	41	31	0	16	0	12	0	18	35	0
N5127	2	0	2	0	8	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	2	0
N5128	14	0	0	0	12	0	4	7	0	18	0	0	9	9	0	4	0	4	0	4	15	0
N5130	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0
N5131	3	0	19	0	34	2	0	10	0	7	0	0	10	14	0	4	0	10	0	16	12	0
N5133	17	0	0	0	2	0	16	11	0	22	0	0	25	9	0	18	0	65	0	12	55	2
N5135	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
N5136	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	8	0	6	5	0
N5137	0	0	2	0	0	0	2	0	0	2	0	0	2	0	0	4	0	12	0	8	6	0
N5141	4	0	0	0	1	0	0	4	0	6	0	0	6	3	0	4	0	15	0	0	14	2
N5143	7	3	0	0	0	0	0	12	0	3	0	0	2	2	4	4	0	10	0	2	10	0
N5145	20	2	2	5	6	25	0	10	1	7	17	0	13	0	0	6	0	22	0	0	4	12
N5147	22	0	25	0	45	0	4	32	0	31	0	0	29	31	0	46	2	47	2	31	43	2
N5148	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
N5149	6	0	2	0	0	0	2	3	0	0	0	0	6	11	0	2	0	1	0	0	6	0
N5150	1	0	0	0	0	0	2	5	0	0	1	0	12	2	0	7	0	9	0	2	17	0
N5156	12	0	4	6	9	4	9	18	0	22	0	4	46	13	2	29	0	28	0	20	30	0
N5163	0	3	1	9	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
N5166	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	79	0	0	0
N5167	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N5168	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
N5170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
N5172	0	0	2	0	0	58	1	2	0	0	0	0	0	0	0	0	0	2	6	0	0	0
N5173	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N5181	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
